Song Title,Artist,,
All the Poor and Powerless ,All Sons & Daughters,,
Great Are You Lord,All Sons & Daughters,,
I Am Set Free,All Sons & Daughters,,
Oh How I Need You ,All Sons & Daughters,,
My Jesus,Anne Wilson,,
Ever Be,Anthony Evans,,
Fighting for Us,Anthony Evans,,
Incredible,Anthony Evans,,
See You Again,Anthony Evans,,
The Secret,Anthony Evans,,
In The Hands Of Christ My King,Austin Stone Worship,Jon McCallon,
All My Hope ,Bayside Worship,,
Good God ,Benita Jones,,
All Hail King Jesus ,Bethel Music,,
Back To Life ,Bethel Music,,
Be Enthroned ,Bethel Music,,
Champion ,Bethel Music,,
Glory to Glory,Bethel Music,,
God of Revival,Bethel Music,Brian Johnson,
Goodness of God,Bethel Music,Jenn Johnson,
Goodness of God ,Bethel Music,,
Holy Forever,Bethel Music,,
Hymn Of Heaven ,Bethel Music,,
It Is Well,Bethel Music,,
King of My Heart,Bethel Music,,
No Longer Slaves,Bethel Music,,
Raise A Hallelujah,Bethel Music,,
Reign Above It All,Bethel Music,Paul McClure,
Spirit Move ,Bethel Music,,
Stand in Your Love,Bethel Music,,
There's No Other Name ,Bethel Music,,
You Make Me Brave,Bethel Music,,
Alabaster Heart,Bethel Music,,
The Lion and the Lamb,Big Daddy Weave,,
Glorious ,BJ Putnam,,
Gratitude,Brandon Lake,,
House of Miracles,Brandon Lake,,
This Is a Move,Brandon Lake,,
Here I Bow,Brian & Jenn Johnson,,
A Thousand Hallelujahs ,Brooke Ligertwood,,
Mountain,Bryan & Katie Torwalt,,
Praise Before My Breakthrough,Bryan & Katie Torwalt,,
Call On Jesus ,Bryan McCleery,,
The Presence of the Lord Is Here,Byron Cage,,
Rise Up (Lazarus),CAIN,,
I Could Sing of Your Love,CalledOut Music,,
This Is the Air I Breathe ,Campus Rush Music,,
Awesome Remix,Canton Jones,,
Abide ,Canyon Hills Worship,,
Glorious Day (Living He Loved Me),Casting Crowns,,
Here's My Heart ,Casting Crowns,,
Who Am I,Casting Crowns,,
Nobody,Casting Crowns ft. Matthew West,,
Worthy of It All,CeCe Winans,,
I Speak Jesus,Charity Gayle,,
God Of Miracles ,Chris McClarney,,
Hallelujah For The Cross ,Chris McClarney,,
Amazing Grace (My Chains Are Gone),Chris Tomlin,,
At The Cross (Love Ran Red),Chris Tomlin,,
Good Good Father,Chris Tomlin,,
He Shall Reign Forevermore,Chris Tomlin,,
How Great Is Our God,Chris Tomlin,,
Is He Worthy,Chris Tomlin,,
Jesus,Chris Tomlin,,
Jesus Messiah,Chris Tomlin,,
King of Glory,Chris Tomlin,,
Lay Me Down,Chris Tomlin,,
Who You Are To Me,Chris Tomlin,,
Christ Is Mine Forevermore,CityAlight,,
Be Glad,Cody Carnes,,
Christ Be Magnified,Cody Carnes,,
Nothing Else,Cody Carnes,,
Plead The Blood ,Cody Carnes,,
Run To The Father,Cody Carnes,,
What Freedom Feels Like,Cody Carnes,,
Endless Alleluia,Cory Asbury,,
Reckless Love,Cory Asbury,,
The Fathers House,Cory Asbury,,
Risen ,Covenant Worship,,
All My Hope,Crowder,Tauren Wells,
Let It Rain (Is There Anybody),Crowder,Mandisa,
My Victory,Crowder,,
Haven't Seen It Yet,Danny Gokey,,
He Can Work It Out,Daryl Coley,,
What A Friend I've Found,Delirious,,
Strong God,Desperation Band,,
Brighter,DOE,,
10000 Reasons (Bless the Lord),Don Moen,Matt Redman,
Glory to the Lord,Don Moen,,
All Creatures of Our God and King,Don Moen,,
Pour My Praise on You,Donnie McClurkin,,
EVERYTHING EVERYTHING,ELEVATION RHYTHM,,
Another One,Elevation Worship,,
